username,author id,created,text,retwc,hashtag,followers,friends,polarity,subjectivity
Krishnan Guru-Murthy,17062358,2017-05-22 11:07:42,"""nothing has changed! nothing has changed!"" says increasingly stressed looking Theresa May",378,None,449105,3495,0.0,0.0
Mama Dragun,412221236,2017-05-21 20:06:12,"I'm too grateful to be hateful. 
I'm too blessed to be stressed.",892,None,82692,88,0.0,0.0
PRINCETON PEREZ,1421475978,2017-05-21 03:29:10,2 blessed 2 be stressed,563,None,160182,624,0.0,0.0
Twitter Moments,3260518932,2017-05-21 15:32:47,"In his speech to the Muslim world, President Trump stressed the need to fight terrorism and extended US support. https://t.co/xkAfXNVYZU",535,None,407392,11,0.0,0.0
ARMAAN MALIK,298917410,2017-05-21 06:05:12,Look at me not so stressed about it  #auckland #PrinceAM #SKYWALK https://t.co/xeizBfoUjI,463,auckland,226978,1265,0.0,0.0
BuzzFeed,5695632,2017-05-22 15:34:32,"This college student brought her puppy, Bailey, to school to cheer up her stressed classmates https://t.co/vHnkYcqkbJ",170,None,5171927,3118,0.0,0.0
Wesley Stromberg,196955859,2017-05-21 22:00:54,Too blessed to be stressed,207,None,733062,34960,0.0,0.0
TIME,14293310,2017-05-22 05:15:10,This map shows where people are the most stressed in America https://t.co/B7PQ5yrMr6,62,None,13980181,846,0.5,0.5
The Voice,216444984,2017-05-22 01:02:01,In case you're feeling stressed about the impending work week. #TheVoice https://t.co/dTHU9cf2Gy,49,TheVoice,4980894,9680,0.0,0.0
Cameron Boucher,64666168,2017-05-21 01:16:00,i mean id be hella stressed if i had to log onto my insta via a 2008 blackberry too https://t.co/y6XwtrQyPR,139,None,10969,903,-0.3125,0.6875
TIME,14293310,2017-05-22 11:20:08,The most stressed-out states in America https://t.co/DoyrR812vF,40,None,13980181,846,0.5,0.5
Psychology Today,27726303,2017-05-21 13:01:00,Many of our canine companions suffer from separation anxiety and are more stressed out than we realize. https://t.co/lB1Gmislah,39,None,497592,975,0.5,0.5
Chelsea Nachman,133493069,2017-05-21 03:22:15,"oh, you think you're stressed? i legitimately can't decide if i prefer emma stone as a blonde or a redhead so maybe scan the room next time",63,None,7956,865,0.0,0.0
Rain Man,243125110,2017-05-21 07:14:37,Imagine not being stressed out for a day ,54,None,55746,674,0.0,0.0
Rachel Ballinger,468957900,2017-05-20 22:04:32,"I'll try to live stream at some point today. Sorry, I've been super stressed and busy. Got Blaze back though!!!",70,None,424303,4793,0.013939393939393935,0.4933333333333333
Mac,23065354,2017-05-19 22:36:37,I just passed my drivers test. Feeling very 16. Stressed out about the SATs.,9829,None,6450613,1215,0.2,0.3
Vogue Magazine,136361303,2017-05-20 22:54:07,6 ways to sleep when you're stressed: https://t.co/ONJUE3f6XM,31,None,12786135,529,0.0,0.0
Joshua Holland,22063600,2017-05-20 17:23:57,"Gah, can we please show some empathy for these nice, economically-stressed white people? https://t.co/GU320djg1O",93,None,11955,1010,0.3,0.5
Scott Santens,14297863,2017-05-20 16:13:00,Universal #basicincome eliminates a minimum amount of anxiety for all. A society no longer stressed about survival... https://t.co/FDZ10BmxNI,127,basicincome,57696,61911,0.0,0.0
Inc.,16896485,2017-05-20 19:54:41,Stressed Out? Try This Scary But Effective Tactic to Make Your Workday Easier @peterkozodoy https://t.co/r5JTnX9KpI,20,None,2317618,1695,0.04999999999999999,0.9
Katya,175180732,2017-05-14 20:09:59,Too blessed to be stressed when your mom's the best. #MothersDay https://t.co/EEvZFQztRP,712,MothersDay,256496,737,1.0,0.3
FutureFemaleLeaders,624849630,2017-05-14 13:45:14,"Stressed *calls mom*
Happy *calls mom*
Anxious *calls mom*
Sad *calls mom*
Excited *calls mom*
Annoyed *calls mom*

Happy #MothersDay!",596,MothersDay,49700,453,0.1708333333333333,0.9249999999999999
Laurence Tribe,4091551984,2017-05-16 02:26:19,".@RepAlGreen rightly stressed on @allinwithchris that impeachment is like indictment, not conviction, which demands... https://t.co/Am2T7P1yk7",276,None,129728,1070,0.2857142857142857,0.5357142857142857
The Notebook,233430873,2017-05-19 03:17:01,"Care less, and you won't be so stressed.",609,None,5767117,163,-0.16666666666666666,0.06666666666666667
OXTAIL GAWD,20691338,2017-05-13 16:34:52,ya back teeth are stressed https://t.co/89PXlErU51,752,None,78691,27718,0.0,0.0
Monica Alba,71584155,2017-05-18 11:44:39,"White House officials stressed yesterday that the president had a ""measured"" response to Mueller news. 12 hours lat... https://t.co/TvUVPhNLBy",374,None,22878,2110,0.0,0.0
Aseefa B Zardari,130159846,2017-05-18 08:42:26,CM #Sindh has personally been monitoring #polio situation and stressed the importance of reaching &amp; vaccinating every child to protect them,343,Sindh,1200880,717,0.0,0.3
AcneSkinSite,143014330,2017-05-17 01:45:07,"Pamper yourself. If you're feeling stressed, your skin is going to show it. Treat yourself and your skin to a home made spa day.",495,None,835325,6,0.0,0.0
Oliver Kamm,157760297,2017-05-13 18:43:02,Corbyn on foreign policy: can't be stressed enough that he joined Pilger in whitewashing war crimes of Milosevic. https://t.co/zeSMNeKCRU,213,None,19903,998,-0.0625,0.3125
Vincent Caravella,19759597,2017-05-13 13:16:37,NY Times has a new section for kids and now I'm more stressed and confused than ever! https://t.co/wW245gy2nD,149,None,74382,166,0.04545454545454545,0.5515151515151515
Carl Bildt,18549724,2017-05-13 14:56:21,"Finland President @niinisto stressed need to develop EU as a ""security community"". #LMC2017 https://t.co/DFd2mUq05z",33,LMC2017,598707,2357,0.0,0.0
