username,author id,created,text,retwc,hashtag,followers,friends,polarity,subjectivity
Mac,23065354,5/19/17 22:36,I just passed my drivers test. Feeling very 16. Stressed out about the SATs.,9521,None,6439525,1215,0.2,0.3
PRINCETON PEREZ,1421475978,5/21/17 3:29,2 blessed 2 be stressed,324,None,160109,622,0,0
ARMAAN MALIK,298917410,5/21/17 6:05,Look at me not so stressed about it  #auckland #PrinceAM #SKYWALK https://t.co/xeizBfoUjI,232,auckland,226387,1263,0,0
KOENA MITRA,154916905,5/19/17 15:08,"#AmiKkr Ami confused.Ami Stressed. Ami Speechless. Ami worried. Do something #Kkr @iamsrk Tomar luck Ektu diye Dao Kkr ke",127,AmiKkr,547812,9,-0.4,0.7
Joshua Holland,22063600,5/20/17 17:23,"Gah, can we please show some empathy for these nice, economically-stressed white people? https://t.co/GU320djg1O",84,None,11935,1007,0.3,0.5
Scott Santens,14297863,5/20/17 16:13,Universal #basicincome eliminates a minimum amount of anxiety for all. A society no longer stressed about survival... https://t.co/FDZ10BmxNI,115,basicincome,57570,61259,0,0
Rachel Ballinger,468957900,5/20/17 22:04,"I'll try to live stream at some point today. Sorry, I've been super stressed and busy. Got Blaze back though!!!",64,None,424238,4793,0.013939394,0.493333333
Tay Jardine,17693277,5/19/17 13:54,Why is it that seeing all these anti stress fidget toys make me stressed out?????,108,None,164667,332,0,0
Dr. Kathie Allen,2856030754,5/20/17 5:00,My opinion: everyone is more stressed &amp; argumentative than usual watching  horrorshow in DC.  It can't help but aff... https://t.co/E47n9z1vgr,48,None,25266,308,0.125,0.375
Cameron Boucher,64666168,5/21/17 1:16,i mean id be hella stressed if i had to log onto my insta via a 2008 blackberry too https://t.co/y6XwtrQyPR,67,None,10970,903,-0.3125,0.6875
ä__ä‹¢,208089519,5/20/17 0:26,I'm stressed out...but I feel good....,35,None,8279,0,0.7,0.6
UN Refugee Agency,14361155,5/20/17 8:24,"Kidnapped, sleep-deprived + stressed  - here's how our frontline staff train for a refugee crisis... https://t.co/zzWDw8WfAj",31,None,2141073,37462,0,0
Inc.,16896485,5/20/17 19:54,Stressed Out? Try This Scary But Effective Tactic to Make Your Workday Easier @peterkozodoy https://t.co/r5JTnX9KpI,20,None,2314805,1694,0.05,0.9
Business Insider,20562637,5/20/17 14:51,GE executive says Americans are 'more stressed out than ever' https://t.co/i8uP7Khf9M https://t.co/qvG3JYDqBt,15,None,1960528,179,0.5,0.5
Vogue Magazine,136361303,5/20/17 22:54,6 ways to sleep when you're stressed: https://t.co/ONJUE3f6XM,26,None,12781583,530,0,0
Borzou Daragahi _ô___ô„Í,24382468,5/19/17 13:13,Everyone's Stressed About Trump's Visits To The Holy Lands. My @buzzfeedworld piece. https://t.co/YJwyKTIL3v,20,None,56234,1081,0,0
Grayson Dolan,2156278138,5/12/17 2:40,I woke up stressed and down today and it turned out to be an amazing day. Stay positive and life will continue to get better.,8200,None,2713531,17042,0.292929293,0.558585859
The Notebook,233430873,5/19/17 3:17,"Care less, and you won't be so stressed.",598,None,5767115,163,-0.166666667,0.066666667
Vogue Magazine,136361303,5/19/17 13:46,Stressed out? A wellness expert shares tips on how to manage anxiety through practicing self-care. https://t.co/p7q7r9ydpB,17,None,12781583,530,0,0
Maria Konnikova,358566293,5/19/17 13:43,"""Creativity cannot come from a mind that is stressed and overworked."" By @emmaseppala:  https://t.co/4DfxelKWee",27,None,26636,217,0,0
Katya,175180732,5/14/17 20:09,Too blessed to be stressed when your mom's the best. #MothersDay https://t.co/EEvZFQztRP,713,MothersDay,255967,737,1,0.3
FutureFemaleLeaders,624849630,5/14/17 13:45,"Stressed *calls mom*Happy *calls mom*Anxious *calls mom*Sad *calls mom*Excited *calls mom*Annoyed *calls mom*Happy #MothersDay!",595,MothersDay,49707,453,0.170833333,0.925
Dharmendra Pradhan,1897514666,5/19/17 10:18,Stressed upon the importance to strengthen the party in the State Capital to create a cascading effect for growth of Party across the state.,29,None,361556,1316,0,0
Laurence Tribe,4091551984,5/16/17 2:26,".@RepAlGreen rightly stressed on @allinwithchris that impeachment is like indictment, not conviction, which demands... https://t.co/Am2T7P1yk7",276,None,128255,1064,0.285714286,0.535714286
Vinny Guadagnino,95515846,5/19/17 7:16,Expensive Possessions make you stressed not happier,61,None,3141616,1340,-0.5,0.7
OXTAIL GAWD,20691338,5/13/17 16:34,ya back teeth are stressed https://t.co/89PXlErU51,752,None,78629,27728,0,0
Malaa,3100257690,5/12/17 19:20,I'm too young to be stressed out.,838,None,29749,178,0.1,0.4
Brad Williams,18723984,5/19/17 3:40,News got you stressed out? Here's a dwarf jumping into a ball pit https://t.co/3B1JxFXdbz,105,None,65585,284,0,0
Monica Alba,71584155,5/18/17 11:44,"White House officials stressed yesterday that the president had a ""measured"" response to Mueller news. 12 hours lat... https://t.co/TvUVPhNLBy",374,None,22839,2111,0,0
Aseefa B Zardari,130159846,5/18/17 8:42,CM #Sindh has personally been monitoring #polio situation and stressed the importance of reaching &amp; vaccinating every child to protect them,336,Sindh,1200184,716,0,0.3
