username,author id,created,text,retwc,hashtag,followers,friends,polarity,subjectivity
Rick Wilson,19084896,5/23/17 1:58,"The Trump trolls are out in force tonight. Either that Bitcoin payment went through, or they're feeling stressed.",495,None,166229,3260,0,0
Krishnan Guru-Murthy,17062358,5/22/17 11:07,"""nothing has changed! nothing has changed!"" says increasingly stressed looking Theresa May",444,None,449262,3505,0,0
Mama Dragun,412221236,5/21/17 20:06,"I'm too grateful to be hateful. I'm too blessed to be stressed.",991,None,82852,88,0,0
Twitter Moments,3260518932,5/21/17 15:32,"In his speech to the Muslim world, President Trump stressed the need to fight terrorism and extended US support. https://t.co/xkAfXNVYZU",545,None,409636,11,0,0
BuzzFeed,5695632,5/22/17 15:34,"This college student brought her puppy, Bailey, to school to cheer up her stressed classmates https://t.co/vHnkYcqkbJ",220,None,5176760,3118,0,0
Wesley Stromberg,196955859,5/21/17 22:00,Too blessed to be stressed,236,None,732974,34957,0,0
TIME,14293310,5/22/17 5:15,This map shows where people are the most stressed in America https://t.co/B7PQ5yrMr6,62,None,13987093,848,0.5,0.5
Mental Health Fdn,80294798,5/22/17 17:54,"If you're stressed with work, have you tried mindfulness? If not, give it a go with our 3-min breathing exercise: https://t.co/2NHuFPuxwI",84,None,120488,4612,0,0
James Charles,1117786405,5/23/17 2:37,i don't have an outfit for tomorrow yet and i'm stressed,88,None,204421,850,0,0
The Voice,216444984,5/22/17 1:02,In case you're feeling stressed about the impending work week. #TheVoice https://t.co/dTHU9cf2Gy,61,TheVoice,4983643,9680,0,0
TIME,14293310,5/22/17 11:20,The most stressed-out states in America https://t.co/DoyrR812vF,43,None,13987093,848,0.5,0.5
Jemaine Clement,23578176,5/23/17 1:33,Don't be stressed out. https://t.co/LpiiPILadx,52,None,185377,1393,0,0
Lisa Schwartz,16862142,5/22/17 0:09,I'm stressed AF about my @BacheloretteABC bracket. Also the state of or Country. #willyouacceptthisimpeachment,20,willyouacceptthisimpeachment,395235,578,0,0
Vogue Magazine,136361303,5/21/17 22:30,6 ways to sleep when you're stressed: https://t.co/T8GWJCucNC,36,None,12789606,530,0,0
Mac,23065354,5/19/17 22:36,I just passed my drivers test. Feeling very 16. Stressed out about the SATs.,10063,None,6458170,1215,0.2,0.3
Psychology Today,27726303,5/21/17 13:01,Many of our canine companions suffer from separation anxiety and are more stressed out than we realize. https://t.co/lB1Gmislah,42,None,497696,975,0.5,0.5
Circa,441389311,5/21/17 15:06,Trump's speech in Saudi Arabia stressed friendship in the face of 'violent extremism' https://t.co/ti3YRgaK8i https://t.co/flg8OnM0hn,20,None,62804,1477,-0.8,1
ARMAAN MALIK,298917410,5/21/17 6:05,Look at me not so stressed about it  #auckland #PrinceAM #SKYWALK https://t.co/xeizBfoUjI,475,auckland,227200,1267,0,0
Vogue Magazine,136361303,5/21/17 14:53,Stressed out? A wellness expert shares tips on how to manage anxiety through practicing self-care. https://t.co/QxghjovTvi,29,None,12789605,530,0,0
Mostly Lit Podcast,7.01E+17,5/21/17 14:54,When I'm stressed I go book shopping. Then I become even more stressed because when am I going to read all these books?!!!,16,None,4906,1603,0.9765625,0.5
PRINCETON PEREZ,1421475978,5/21/17 3:29,2 blessed 2 be stressed,572,None,160195,624,0,0
Katya,175180732,5/14/17 20:09,Too blessed to be stressed when your mom's the best. #MothersDay https://t.co/EEvZFQztRP,711,MothersDay,256900,735,1,0.3
FutureFemaleLeaders,624849630,5/14/17 13:45,"Stressed *calls mom*Happy *calls mom*Anxious *calls mom*Sad *calls mom*Excited *calls mom*Annoyed *calls mom*Happy #MothersDay!",596,MothersDay,49702,453,0.170833333,0.925
Laurence Tribe,4091551984,5/16/17 2:26,".@RepAlGreen rightly stressed on @allinwithchris that impeachment is like indictment, not conviction, which demands... https://t.co/Am2T7P1yk7",276,None,130936,1071,0.285714286,0.535714286
The Notebook,233430873,5/19/17 3:17,"Care less, and you won't be so stressed.",613,None,5767173,164,-0.166666667,0.066666667
Monica Alba,71584155,5/18/17 11:44,"White House officials stressed yesterday that the president had a ""measured"" response to Mueller news. 12 hours lat... https://t.co/TvUVPhNLBy",373,None,22890,2110,0,0
Aseefa B Zardari,130159846,5/18/17 8:42,CM #Sindh has personally been monitoring #polio situation and stressed the importance of reaching &amp; vaccinating every child to protect them,348,Sindh,1201153,717,0,0.3
AcneSkinSite,143014330,5/17/17 1:45,"Pamper yourself. If you're feeling stressed, your skin is going to show it. Treat yourself and your skin to a home made spa day.",495,None,835492,6,0,0
Rain Man,243125110,5/21/17 7:14,Imagine not being stressed out for a day ,55,None,55748,674,0,0
OXTAIL GAWD,20691338,5/14/17 12:28,LOL my yute is stressed https://t.co/1hDMYcjCB2,178,None,78730,27718,0.8,0.7
Rock Sound,14451605,5/14/17 13:45,Watch Twenty One Pilots' Tyler Joseph sing his own song at a karaoke bar. https://t.co/VCIKbby6cx https://t.co/slVeTZZ2Oh,123,None,349537,658,0.6,1
