username,author id,created,text,retwc,hashtag,followers,friends,polarity,subjectivity
AcneSkinSite,143014330,5/17/17 1:45,"Pamper yourself. If you're feeling stressed, your skin is going to show it. Treat yourself and your skin to a home made spa day.",465,None,834238,6,0,0
Mark Medina,19319374,5/17/17 1:10,"On using No. 2 pick to draft player or trading it, Magic Johnson and Rob Pelinka stressed importance of keeping long term future in mind",94,None,42215,1421,0.15,0.508333333
Funny Or Die,15693493,5/16/17 22:00,"Stressed out trying to keep up with Trump, Comey, Russia leaks, etc? Try this new meditation on for size. https://t.co/WPisvtclM7",129,None,14199852,5686,0.136363636,0.454545455
Sahil Kapur,19847765,5/17/17 14:18,"In opening remarks at presser, Paul Ryan and his leadership team stressed tax reform. Then every question he got was about Trump/FBI/Russia.",74,None,61433,522,0,0
Blindspot,2994020017,5/18/17 0:33,Raise your hand if you're stressed out. #Blindspot,37,Blindspot,170136,285,0,0
Vogue Magazine,136361303,5/16/17 18:04,6 ways to sleep when you're stressed: https://t.co/AaN1LW1I5S,41,None,12781221,530,0,0
Becca Tilley,31047270,5/18/17 4:15,I am NERVOUS for the Grey's finale tomorrow!Just watched last weeks episode &amp; feeling STRESSED. What would I tweet about without this show?,49,None,220712,282,-0.025,0.083333333
Randi Mayem Singer,372563164,5/17/17 22:47,Trump's probably so stressed out right now no amount of Russian hooker pee can calm him.,42,None,13497,452,0.195238095,0.428571429
Melissa Ponzio,716447274,5/17/17 2:50,i didn't breath the last two minutes...#ChicagoFireFinale got me #STRESSED,46,ChicagoFireFinale,570230,7297,0,0.066666667
Kira Kosarin,598986879,5/16/17 19:04,I'm eating chicken with tomato sauce while wearing a white shirt and I've never been so stressed,50,None,195357,1218,-0.3,0.475
BloombergQuint,7.15E+17,5/18/17 2:20,"Stressed assets higher than the net worth of Indian banks, says McKinsey. @visshy_it reportshttps://t.co/WafIQlcif0 https://t.co/5agMFgfcfA",20,None,12884,321,0.183333333,0.2
Ari Sytner M.Ed LMSW,37844996,5/16/17 14:21,"You may not feel stressed. But if you are easily angered, frustrated or impatient - you likely are. De-stress by taking time to recenter.",36,None,190672,159181,-0.4125,0.7375
BloombergQuint,7.15E+17,5/17/17 14:54,".@McKinsey warns of perfect storm as banks' stressed assets surpass net worth.@visshy_it reports... https://t.co/ormvd3UcUy",16,None,12884,321,0.433333333,0.366666667
Ira Dugal,558654135,5/17/17 17:08,"Bank stressed assets more than their net worth, says McKinsey. https://t.co/a5vuZ1oMMt https://t.co/RSrDLnO0oj",16,None,7032,625,0.266666667,0.2
Ben Spielberg,1850333580,5/17/17 2:56,I really don't think this can be stressed enough: Trump is *a* problem. He is not *the* problem. It is essential that we remember that.,27,None,7289,1742,0.066666667,0.333333333
Grayson Dolan,2156278138,5/12/17 2:40,I woke up stressed and down today and it turned out to be an amazing day. Stay positive and life will continue to get better.,8147,None,2690351,17041,0.292929293,0.558585859
Grayson Dolan,2156278138,5/11/17 17:18,When you're so stressed that real life bs follows you to your dreams and stresses you out while you're asleep ,7906,None,2690351,17041,0.2,0.3
Laurence Tribe,4091551984,5/16/17 2:26,".@RepAlGreen rightly stressed on @allinwithchris that impeachment is like indictment, not conviction, which demands... https://t.co/Am2T7P1yk7",276,None,126657,1052,0.285714286,0.535714286
Katya,175180732,5/14/17 20:09,Too blessed to be stressed when your mom's the best. #MothersDay https://t.co/EEvZFQztRP,709,MothersDay,254683,739,1,0.3
FutureFemaleLeaders,624849630,5/14/17 13:45,"Stressed *calls mom*Happy *calls mom*Anxious *calls mom*Sad *calls mom*Excited *calls mom*Annoyed *calls mom*Happy #MothersDay!",596,MothersDay,49727,453,0.170833333,0.925
Thomas Sanders,612750924,5/11/17 18:25,"""You look tired and stressed, are you stressed?""Well I didn't think I was until you just made me self-conscious about how I looked!!",994,None,447065,1024,-0.625,0.7
OXTAIL GAWD,20691338,5/13/17 16:34,ya back teeth are stressed https://t.co/89PXlErU51,753,None,78507,27727,0,0
Malaa,3100257690,5/12/17 19:20,I'm too young to be stressed out.,835,None,29703,178,0.1,0.4
Yoni Appelbaum,269911034,5/9/17 11:32,".@PRRIpoll 10. Bottom line? White, working class Trump voters felt culturally displaced and resentful, not financia... https://t.co/BiHl2Ll51y",2299,None,19743,496,0.05,0.05
The Independent,16973333,5/10/17 22:48,Finland is giving each citizen a universal basic income and it is making people less stressed https://t.co/KFXKuhy9wl,514,None,2213654,1125,-0.055555556,0.063888889
AcneSkinSite,143014330,5/10/17 8:45,"Don't Worry Be Happy. The more stressed you are, the more your body reacts and you may see more blemishes.",448,None,834238,6,0.575,0.625
SZA,256883252,5/9/17 4:54,Grateful + stressed  /occasionally apologetic https://t.co/NE9et3z0SP,493,None,319250,471,0,0
Oliver Kamm,157760297,5/13/17 18:43,Corbyn on foreign policy: can't be stressed enough that he joined Pilger in whitewashing war crimes of Milosevic. https://t.co/zeSMNeKCRU,212,None,19519,997,-0.0625,0.3125
Vogue Magazine,136361303,5/16/17 4:47,6 ways to sleep when you're stressed: https://t.co/Ckebep55b2,42,None,12781221,530,0,0
Shannon Clermont,267545354,5/9/17 14:31,Too blessed to be stressed ,464,None,95823,853,0,0
Sophia Benoit,257591704,5/9/17 1:47,"me: i'm stressedmy body: here is some acneme:...my body: because you're stressedme: I know i'm stressedmy body: so did it help?",225,None,56693,813,0,0
